id,source,year,population,n,design,intervention_or_topic,outcome,scale,estimate,uncertainty,type,notes
E11,"Vlasceanu et al.",2024,63 countries,59440,megastudy,best intervention on SHARING (negative emotion),pp change,%,12.1,,published,Low-cost action moves more
E12,"Vlasceanu et al.",2024,63 countries,59440,megastudy,ALL interventions on effortful behavior (WEPT tree planting),pp change,%,<=0,several negative,published,"NO intervention increased effortful behavior; some backfired -> null/negative priors for behavior_mean/donation"
E13,"Vlasceanu et al.",2024,63 countries,59440,megastudy moderator,scientific consensus intervention,action moderated by ideology,qualitative,liberals only,,published,Consensus works on action only for liberals
E14,"PNAS Nexus pgae485 (credibility interventions)",2024,US nat-rep (Bovitz) n=2545,"847 control / 837 history / 861 institutions",RCT,History-of-climate-science paragraph,belief human-caused CC,0-100,+2.36,"CrI [0.37,4.37] P>0=.99",published,"Directly analogous to Measurement&modeling/Model accuracy stimuli"
E15,"PNAS Nexus pgae485",2024,US,as above,RCT,History intervention,pro-consensus scientist perceived skill,0-100,+2.08,"CrI [0.01,4.18]",published,"Trust-adjacent outcome moves ~2pp; across parties"
E16,"PNAS Nexus pgae485",2024,US,as above,RCT,Institutional-constraints intervention,pro-consensus scientist skill,0-100,+1.94,"CrI [-0.18,3.89] P>0=.96",published,Slightly weaker than history
E17,"PNAS Nexus pgaf400 (climate advocacy megastudy)",2026,US quota-matched n=31324,control n=1739,megastudy 17 interventions,best intervention (collective efficacy + emotional benefits),advocacy composite,pp,up to 10,,published,"Best-case ceiling for low-cost advocacy actions; binding moral foundations worked for Republicans"
E18,"Rode et al. J Environ Psych 101623 meta-analysis",2021,mostly US,~50k,meta-analysis of climate attitude interventions,pooled one-shot intervention effect,Cohen's d,d,~0.08,small,published,"Typical climate attitude intervention: d~0.05-0.13 => ~1-3pp on 0-100"
E19,"CCAM Fall 2025 (Yale/GMU)",2025,US nat-rep,~1000+,survey baseline,none (baseline),global warming happening,%,72,,published,baseline anchor
E20,"CCAM Fall 2025",2025,US,,survey baseline,none,human-caused (mostly),%,58,,published,"belief_post 0-100 accuracy mean anchor ~65-70 given slider vs binary"
E21,"CCAM Spring 2025",2025,US,,survey baseline,none,somewhat+ worried,%,65,,published,concern anchor
E22,"CCAM Fall 2025",2025,US,,survey baseline,none,fund renewable research support,%,77,,published,policy_specific anchors: popular items 70-80
E23,"CCAM Fall 2025",2025,US,,survey baseline,none,regulate CO2 support,%,74,,published,policy_general anchor ~60-68 on 0-100 slider
E24,"PLOS Climate 0000400 trust review",2024,US,review,review,none,trust in climate scientists baseline,%,"40% 'good job all/most of the time'; Dem ~2x Rep confidence",,published,"Trust slider means: strong party gradient; Dem>>Rep"
E25,"Bisbee et al. Political Analysis (perils)",2024,US,,method critique,LLM synthetic survey data,marginals & variance,qualitative,understated variance; unstable across prompts,,published,"Motivates: no persona over-scripting; report dispersion risk; Tier-1 distribution metrics at risk"
E26,"arXiv 2604.02458 statistical realism vs causal accuracy",2026,,,method,silicon samples,realism does not imply causal accuracy,qualitative,,,preprint,Marginal realism ≠ ATE accuracy; validate on effects not marginals
E27,"arXiv 2509.13397 analytic flexibility in silicon forecasting",2025,,,method,forecasting pipelines,researcher df inflate apparent accuracy,qualitative,,,preprint,Freeze design; disclose search space
E28,"Hewitt et al. Nature",2024,US,,model comparison,Claude 3 Opus harmful-message selection,identified-post vaccine-intention effect,pp,-2.88,"GPT-4 -2.77",published,"Anthropic frontier model matches GPT-4 on selection task — supports Fable-family adequacy"
